"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
10,",,,,唉",",,,,Alas",1
10,".私人定制.这种强奸院线的电影，还好意思说自己几天票房超了泰囧，我们看泰囧的时，院线里四五个片子上映好么，现在所有院线只有你一部片子好么！能不能注意点品质和素质，人家泰囧的评分是8.9好么，人家是导演诚意之作好么，私人评分是5分好么，导演为票房糊弄人好么，看完大家都想对你说fuck好么！！",". Private custom. This rape of cinema films, the nerve to say yourself a few days at the box office over the Thai embarrassing, we see Thai embarrassing, court line in four of the five films released okay, now all the cinemas only you are a movie good! Can you note the point of quality and quality, people Thai embarrassing, the score is 8. 9 okay, he is the Director of the sincerity as well, so private Score is 5 points okay?, the Director of box office fool people okay, after reading everyone wants to say to you fuck good.",0.869761
10,"【慎看·纯吐槽】本没抱多大希望，可还是足够失望，还没看的建议就别看了。混乱牵强的拼接，中心思想被狗吃了吗请问，就算喜剧电影也可以有个主线好吗，可以俗烂，但不要什么都没有好吗。最后那是什么，保护大自然吗，道歉是吗，不顺便给观众道歉吗。套你们自己的话——毛。","【Caution see·pure tucao] the present didn't hold much hope, but enough disappointment, haven't seen advice don't look. The chaos forced the splicing, the Central idea is the dog eating? excuse me, even Comedy films can also be a primary good?, can be vulgar rotten, but don't nothing okay. Finally, what's that, protect nature?, the apology is me, not giving the audience an apology? Set your own words-the hair.",0.840209
10,"18号和石头哥一起在影院看的提前场。不说前三段的割裂感，单说最后的废话，搁再好的片子里也要把分数扣到精光。","No. 18 and the stone brother together in the theater to see the advance field. Not to say the first three paragraphs of the fragmented senses, the one that finally crap, resting no matter how good the film was also to be the score of the buckle to the cleaners.",0.796281
10,"2013.12.29","2013.12.29",1
10,"2bmeiwenhua","2bmeiwenhua",1
10,"5年内唯一一支让我看到一半就忍吐离场的电影,为了葛大爷,为了王朔,为了冯小刚,我一直在努力的寻找笑点搏自己一笑,但我失败了,我想也可能是时代已将我的笑点提的太高...","5 years the only team to let me see half the shinobi spit away from the field of cinema,in order to GE uncle,in order to Wang Shuo,in order to Feng Xiaogang,I've been trying to find punchline pacing himself for a laugh,but I failed,I think it may be the times has been my punchline mentioning too high...",0.739444
10,"haonimei","haonimei",1
10,"hehehe","hehehe",1
10,"lanlanlan","lanlanlan",1
10,"lansile","lansile",1
10,"nmsl","nmsl",1
10,"shajibapolan","shajibapolan",1
10,"shuoshenmaasd","shuoshenmaasd",1
10,"一个人造女、一个广告男、一个逼祖奶奶绿茶婊外加一个晚节不保的御用百搭牌，结果打了一手农村重金属出来，想用最戏谑的手法讽刺社会却用了最傻逼的表达方式，搞笑不好好搞，道理不好好讲，煽情不好好煽，道歉不好好道，真想负分滚粗，唯一的一颗星给挖煤的大坑。.豆瓣太不与时俱进了，居然没有负分。","A man-made woman, an advertising man, a forced ancestral grandmother 绿茶婊 plus a night festival. The Queen wild card, the results hit the hand of the rural heavy metals out, like with the banter of the techniques of satire in society, but with the most stupid expression, funny bad good fuck, the truth don't speak, sensational good fan, the apology is not good well on the road, really want to negative points roll crude, the only one star to dig a coal pit.. Watercress too is not keeping pace with the times, actually no negative points.",0.831673
10,"一塌糊涂","Mess",1
10,"一塌糊涂，冷的我无语，乱的我胸闷。白百合全片只顾搔首弄姿矫揉造作，衬得假奶璐率性可爱。。。冯导，你以为自己接地气儿了，其实你根本不知道观众想看啥，你讽刺讽刺没水准，道歉道歉没诚意，改行拍广告去得了","Mess, the cold I was speechless, out of my chest tightness。 White Lily full sheet only coquettishly artificiality, Bush got fake Tits Lu whims of cute and... Von the guide, you think you own the ground gas children, actually you don't the audience want to see what, you ironic irony of such a vulgar bunch., the apology apology not good faith, diverted commercials go.",0.805677
10,"一声叹息","Sigh",1
10,"一声叹息 一败涂地","Sigh playin",1
10,"一开始在序幕的时候看到王朔的名字还是挺抱希望的，结果还是被剧情郁闷到了，没有任何意义的私人定制，宋丹丹那段莫名其妙的煽情，以及故事想反讽社会现状却又变得乱七八糟的还有最后那段道歉。。整部剧看着就像是一锅乱炖的菜，杂七杂八全部丢在一块，说笑点吧，其实还真没什么笑点，失望","The start in the prologue in time to see Wang Shuo's name was quite hope, the result still is the story of depressed to, no sense of private custom, song Dandan that somehow sensational, and the story think the irony of social status but also becomes a mess and the final apology. all. Whole drama look like Is a pot mess stew dish, assorted all thrown in one piece, funny point of it, in fact also really nothing to laugh.",0.781541
10,"一无是处","Nothing",1
10,"一星是给宋丹丹和范伟的，宋丹丹那段结尾的插曲不错，有共鸣！具体有多差就不说了。说不完，就是三个小品加一个环保公益广告！","One star is for the song Dandan and fan Wei, song Dandan that at the end of the episode is good, with vibes! Specifically how poor it does not say. Say that finish, is three pieces plus an environmental charity ads!",0.781943
10,"一直很不忍心标记，其实真的有中途离场的心了，没走，因为我信冯小刚，看到最后，却发现，尼玛，原来冯小刚信郭德纲。一颗星给宋丹丹，不是说这个故事，而是说这个人。","Has been very not bear the mark, in fact, really have the middle off the field of the heart, and did not go, because I believe that Feng Xiaogang, to see the final, but found, NIMA, the original Feng Xiaogang letter to Guo de gang. A star to the song Dan Dan, not to say this story, but said this person.",0.741137
10,"万达满院线都是私人定制，非常愤怒。给葛大爷一星，从剧中生硬的煽情我仿佛已预见到了春晚的悲剧了","Wanda the full house line are private custom, very angry. To GE uncle one star from the drama blunt sensational as if I had seen the show of the tragedy.",0.780921
10,"三个MV加一个没拍完的宣传片，真是成就了终身最俗，不是江郎才尽是根本没有财哪有又有尽这一说，感觉色调调的有点过了，偏色，不知道是压制的问题还是影院的问题，比例看着特别奇怪，笑点无趣又牵强，是该换换血了","Three MV plus one did not shoot after the promo, it's the achievements of a lifetime of the most vulgar, not run out of ideas is no wealth which has yet to make this statement, and feel shades tones a bit off, color cast, do not know is the repression of the problem or the theater's problem, the ratio looked particularly strange, the humor uninteresting and far-fetched, is the change blood.",0.812731
10,"三句话能讲完的道理一定要拍俩小时的电影还讲不清 从头到尾都是广告 小到饮料 大到房地产 一星给王铮亮的时间都去哪儿了 这部电影毁了这首好歌 好忧伤","Three words can tell the truth be sure to take the two-hour movie also speak unclear from start to finish is advertising for small to drink large real estate one-star to Wang Zheng Liang the time go where did this movie ruin this good song. good grief",0.81259
10,"下半场如坐针毡，那些号称看出情怀，解读各种深意的，赶紧绝交吧。按这种思路，任何电影都能加个公益结尾，施瓦辛格搞定恐怖分子后，来个宣传防艾，霍比特人融了魔戒后来个拯救文化遗产，地心引力末尾普及保护臭氧层，阿凡达后面加上节约地球资源，太他妈深刻了！蠢货导演们，戏就该这么拍，学着点！","In the second half on pins and needles, those known as seen the cravings, the interpretation of a variety of deep meaning, and quickly split. According to this line of thinking, any movie can be added to a public end, Schwarzenegger get to the terrorists, to an advocacy response to HIV / AIDS, The Hobbit the financial the Lord of the Rings later a save the cultural heritage, but at the end of the popularity of the protection of the ozone layer, avatar the rear plus saving the Earth's resources, too damn deep! Idiot Director, play the so to shoot, learn to point!",0.818682
10,"不伦不类","Nondescript",1
10,"不伦不类的","Nondescript",1
10,"不公平啊，老美过节看霍比特人，我们就只能看这种东西啊。你可以说老美的东西空洞模式化只有视觉冲击力，但是至少人家用心做了。中国的这种电影几乎什么都没有，也好意思拿出来骗钱？冯导真应该留着这片在春节晚会时段再播一遍，让我们把年夜饭都吐出来。我想看霍比特人。。。为什么不同步。。。为什么","Unfair Ah, American holidays to see The Hobbit, we can only see this kind of stuff. You can say old stuff the cavity mode of the only visual impact, but at least they do. In China this movie is almost nothing, also the nerve to come up to cheat money? Von guide really should keep this piece in the Spring Festival Gala period and then broadcast it again, let's put dinner all spit it out. I want to see The Hobbit and... Why different. Why",0.771005
10,"不好好琢磨怎么拍好电影，只顾上烂片赚俏皮钱，观众不是傻子，能分出好坏，只想说好自为之吧","Good pondering how to shoot good movies, only on bad movie make playful money, the audience is not a fool, can separate the good or bad, just want to say from whom.",0.762098
10,"不好意思，笑点及其无聊，想表达的东西是好的可是呈现的方式太烂，就像你有拯救世界的英雄心却没有超人的英雄身一样，牵强的很，让我无数次无聊的冷笑，除了宋丹丹那个我有点小感动，其他的真没啥，一直都在玩手机，估计是本电影所达到的境界是我等俗人无法抵达和理解的","I'm sorry, punchline and bored, want to Express something is good, but the presentation way too rotten, like you have to save the world the hero the heart has no superhuman hero body, like, far-fetched, let me countless times bored sneer, in addition to song Dandan that I'm a little touched, the other really nothing, has been in the play phone, it is estimated that the film reached the realm of the IS I wait for the laity unable to reach and understand the",0.86839
10,"不好看，我就是煤老板，他们一点没顾及我们这些人的尊严，日他妈现在这年头让个煤矿场给你冯小刚做东家，你怕你又舍得不挖？谁不想要钱，你们说是不嘛！！污染环境的问题又不是说我们守规矩人家就一定守规矩，如果说这都是我们的错，那好像当年你们烧煤的时候是我逼的咯！妈的如果老子穷疯病痛饿死在路","Doesn't look good, I'm just the coal bosses, they didn't take into account those of us of human dignity, the day his mom these days make a mine field to you Feng Xiaogang plays host to home, are you afraid of you're willing not to dig? Who doesn't want money, you say is not it! it! The problem of environmental pollution but also not to say that we behave they will behave, if this is all our fault, and it seemed like the year you coal when I'm forced to! Shit if my poor mad pain starve to death on the road",0.80654
10,"不好看~","Look good~",0.826157
10,"不明白冯小刚为啥这个作践自己，是另有原因还是脑子进水了？看了这部片子，曾经对他的那点好感全没了，我心中的冯氏喜剧看来在10年前就死了。葛优的演绎一般，范伟是个亮点，两个国产小媳妇是在梦游。","Don't understand Feng Xiaogang why did this spoil yourself, is another reason or the stupid? See this film, ever to him that the point of goodwill all gone, my mind von's Comedy looks like 10 years ago died. GE's interpretation of the General, fan Wei is one of the highlights, the two made small daughter-in-law is sleepwalking.",0.733158
10,"不是冲着冯小刚来的，主要跟葛大爷进来的。看完骂烂片王啊，年度烂片王，失望啊。导演激发了我的仇恨值啊，葛大爷的每一部电影我都看的，这部。。。。。。我气。。。。。。吐血了。","Not directed at Feng Xiaogang to come, mainly with the GE uncle come in. After reading curse the rotten piece of the king Ah, the annual rotten piece of the king, disappointed. The Director inspires my hatred value Ah, GE uncle every movie I've seen, this unit。。。。。。 My gas。。。。。。 Spit blood.",0.748216
10,"不真诚，高高在上。冯小刚带着1942票房失利的拧巴，炮制一个自己高高在上的段子秀。连个故事都算不上。一个自认作品牛逼哄哄，观众没品才不会去欣赏的导演。你还是去画画吧，真的！","Not sincere, high above it. Feng Xiaogang took the 1942 box office defeat of the screwed bar, concocting one of my own high above the piece of the show. Even the story are not. A self-confessed work T rock, the audience. will not go to the tunes of the Director. You still go to draw it, really!",0.893596
10,"不知所云","Unintelligible",1
10,"不知所云，转折突兀","Unintelligible, turning abruptly",1
10,"不知所云~","Incomprehensible~",0.734991
10,"不知所云的作品","Unintelligible works",1
10,"不知所谓，也许是对王朔的认识还停留在野兽凶猛，不仅毫无技术含量的广告植入叫人反胃，拙劣的表达自以为是的高深进影院看也真是成全了票房恶心了自己。","Don't the so-called, and perhaps is the Wang Shuo awareness is still stuck in the wild beast ferocious, not only no technical content of the advertisement called people nausea, poor expression of self-righteous high into the theaters to see also what the sake of the box office gross for yourself.",0.801653
10,"不知道是我们看电影品味高了还是 冯导的水平降了。像海豚湾、中国合伙人，疯狂石头这类电影。看完在心里有些心酸感动。像指环王、阿凡达、少年派，看后是视觉盛宴。  .冯导对术的追求有些走火入魔了，却忘了电影的道。 有道无术，术尚可求，有术无道，至于术。 看来人的能力就是逆水行舟，不进则退。","Don't know is we look at the movie tastes of high or Feng turned the level down. Like Dolphin Bay, the Chinese partner, crazy stone such movies. After reading in the heart some sad touched. Like the Lord of the Rings, avatar, teenager, school, see After is a visual feast. . Von the Guide to the surgical pursuit of some deranged, but forget the movie. The proper way to without surgery, surgery still required, surgery without, as far as surgery. It seems that people capacity is riding a boat behind.",0.89525
10,"不知道该痛骂还是沉默，痛骂会引来更多的人围观然后更多人图新鲜去给忽悠观众的傻逼导演送钱，沉默又不足以表达从头到尾的恶心感，奉劝大家别去送钱，尤其不能助长这种不要脸捞钱的无诚意片风，优胜劣汰，让渣滓真正被淘汰吧","Don't know the scolding or Silent, scolding will lead to more people watching then more people figure fresh to go to the Fudge of the audience fucking the Director sent the money, the silence is not sufficient to Express from beginning to end the nausea feeling, advise everyone not to send money, especially not fuelling this Fuckers make money without sincerity piece of the wind, survival of the fittest, let the scum really be eliminated.",0.756421
10,"不知道这个电影到底要说啥，反腐神马的牵强而且生硬，太特意为之的感觉，最后干脆演变成一环保宣传片儿了。两个小时的时间真是频繁看表，昏昏欲睡，还有观众提前离场的，偶尔的几个笑点也变得只是点缀了。。。","Don't know this movie in the end to say what, corruption? of the far-fetched and blunt, too deliberately to feel, and finally simply evolved into an environmental propaganda piece. Two hours is really Frequent to see the table, drowsy, and the audience in advance of departure, and occasionally a few laugh becomes just Embellishment.",0.731909
10,"不苛责王朔，做个庸庸碌碌的老年人，回家含饴弄孙，其实挺好。要他卯起劲来与世界做斗争，我看着都累，相信他硬了这么多年也软了，累了。","Do not blame Wang Shuo, do a adjusted elderly, home free Yee get sun, in fact very good. To be he D in full swing with the world do the fight, I looked at all the tired, believe he hard for so many years also soft, tired.",0.788101
10,"不要抱有太高期望的人去看觉得挺不错的，休闲乐趣","Don't have too high expectations of people to see feel pretty good, casual fun",0.801345
10,"不论这片子好坏，单凭冯小刚的态度就给零分。记得冯在一次颁奖晚会中说道：好好弄了一个1942部挣钱，随随便便弄个私人订制就赚钱。就凭他对观众的哄弄就给零分","Whether this film is good or bad, alone Feng Xiaogang's attitude to zero. Remember Feng in a ceremony said: good got a 1942 portion of the money, casually get hold of a private custom will make money. With his audience of coaxing to get it to zero",0.837945
10,"丑","Ugly",1
10,"两个字，恶俗，形容完了这部电影的观后感，看完以后感觉像不小心吃了个烂橘子，吃的时候并没有太多不适的感觉，但是回味一下觉得立意太低有点俗不耐。。。虽然是讽刺的口吻但是编剧对于官腔，色诱和土豪的描摹还是让人觉得很无趣，最后一部分突然冒出来的长段良心发现的环保的诗朗诵显得极其格格不入。","Two words, raunchy, describe finished this movie of reflection, to look after feeling like accidentally eating a rotten orange, when eating and not too much discomfort, but the aftertaste it out there with the intention of too low a bit vulgar not resistant to it. Although it is ironic tone, but the screenwriter for the officer of the Chamber, the seduced and the tyrant of the tracing or make people feel very boring, the last part of suddenly coming out of the long period of a conscience of environmental protection of the poetry readings seem extremely out of place.",0.851748
10,"中国影坛不要过分消费观众的信任！要俗要赤裸的求票房当真小人大家没异议，不过开头那多出来五分钟臭脚步一样的广告，算在电影时长里就极其过分，让人不禁有砸电影屏幕的冲动！幼稚无聊的剧情，单薄的人物塑造，蹩脚的环保感情诉求让人觉得虚伪又突兀！冯导这是要拿宇宙最俗奖啊！","Chinese cinema not to overdo consumption of the audience's trust! To be vulgar to be naked, please at the box office when the villain everyone no objection, but the beginning of that extra five minutes of stinky footsteps as advertising, in the movies when the length is extremely too much, let people can not help but have hit the movie screen the urge to! Childish boring plot, thin characterization, crappy environmental emotional appeal to make people feel hypocritical and awkward to! Von the Guide This is to take the universe of the most vulgar award!",0.827387
10,"中间我睡着了将近一个多小时，直接导致脖子落枕。fuck！今年看过最烂电影没有之一。相比之下，四娘简直业界良心。起码人家全片无尿点，靠弹屏吐槽足以撑够120分钟。护舒宝炒冷饭功力实在见长，片尾的配乐诗朗诵珍是吓死人惹！","In the middle I fell asleep for almost an hour, a direct result of the neck stiff neck。 fuck it! This year saw the worst movie no one. In contrast, the four-girl is simply the industry's conscience. At least people full sheet without urine Points by flicking the screen tucao enough to support enough for 120 minutes. Whisper a rehash of a skill really good, credits of the soundtrack poems recitation Jane is scary to mess with it!",0.839126
10,"为什么冯小刚的电影越来越不好，还非得一个劲的拍下去，中国的年轻一代倒是有不少出头的好导演，可惜还没什么人看到","Why Feng Xiaogang's films more and more not good, also have to he kept the beat goes on, China's young generation do have a lot of Head of good Director, unfortunately also not many people see",0.814944
10,"之前看了预告觉得不错，后悔进电影院看了。。冯导江郎才尽，浪费葛大爷这么优秀的表演人才      全场笑不出声，桥段太做作了！PS痕迹太明显！","Before watching the trailer feel good, regret into the cinema to see. Von guide run out of ideas, a waste of GE uncle so excellent performers audience laugh out loud, the plot is too contrived! PS traces too obvious!",0.739848
10,"乱","Chaos",1
10,"乱七八糟","Mess",1
10,"乱七八糟的","Mess",1
10,"今天冯导在微博大骂影评人，说影评人连潜台词都看不出来。我倒不是影评人，但也是给了评价的，我想对冯导说，您那几个故事潜台词老掉牙了，是人就知道在讽刺、批判，但归根到底，这部电影真没劲。别老诋毁别人的作品不用心票房高口碑好，你的作品用心却评价低。实话告诉你，票房好也是冲着冯氏喜剧去的","Today Feng guide on the microblogging cursed film critic, said critic even subtext can not be seen. I'm not film critic, but also to the evaluation, I want to von guide said, You get a few stories subtext corny, is people knew in ironic, critical, but ultimately, this movie is really boring. in. Don't discredit someone else's works do not mind the box office high reputation good, you work hard, but rating low. To tell you the truth, the box office good is also directed at von's Comedy go",0.905433
10,"今天大雪天，本来想说去看部好电影的，对电影本身也有很多期待，可是看了开头的一段无厘头的引子，加上后面毫无故事性可言的垃圾拼凑，真的是失望到不行，全程没有让我发笑的点，而且毫无故事性可言，完全的生搬硬套，冯小刚，果然是长江后浪推前浪，前浪死在沙滩上了，现在对他而言金钱比电影重要，现","Today, snow days, originally wanted to say go see a good movie, The Movie itself also have a lot to look forward to, but see the beginning of a paragraph does not make sense to the primer, plus behind no story at all of the garbage put together, really was disappointed to not work, the entire process didn't make me laugh the point, and no story at all, completely mechanically, Feng Xiaogang, it really is after the Yangtze River waves, before the waves die on the beach, and now for him in terms of money than the movie important, now",0.809928
10,"今年看到的最差的電影，噁心自己成全中國式經濟增長，還是少碰大陸電影吧。","This year saw the worst movie, the evil heart of their own the sake of the Chinese economic growth, or less touch the mainland of the movie.",0.737731
10,"从私人订制 到 春晚  冯小刚可能已经得到了自己想要的东西 同样的也会失去一些东西 就像当年说的 人心散了 队伍不好带呀 这也反映了中国电影圈的现状 自己是牛逼的 群众是钱多人傻 冯导人自己都总结了呀 恶心别人 成全自己！","From private custom-made to the Spring Festival Gala Feng Xiaogang may have to give up their own want something the same but also lose some things like the year that the people scattered the team is not good with a. It also reflects the Chinese film circle's status quo their is a t of the masses is more money people stupid Feng turned the man himself are summed up. disgusting someone else to fulfill yourself!",0.846827
10,"从自high式讽刺到最后的升华颂扬，一路冷场。唯一的高潮是两男包裹严实，两女泳衣斗奶的那场戏。为之惊艳的小白，你那对儿也是假的嘛？","From the high style of irony to the last sublimation of the glorification, and all the way to silence it. The only climax is two men wrapped tight, and the two women bathing suits bucket to milk that drama. Is a stunning little white and you that the daughter is also a fake?",0.7406
10,"从这部片能看出冯导的无奈和清高，为了筹钱拍了这部电影，有一点点的小嘲讽，但请冯导设身处地想想，自嘲自己只能拍大俗电影，对于追求艺术的那些电影人又是怎样的看不起，抱歉，这种不可一世的态度只能给一星。","From this portion of the sheet can be seen Feng guide the helpless and Allaah, in order to raise the money to shoot this movie, with a little bit of small sarcasm, but please von the Guide to put yourself in think about it, deprecating his own can only shoot the big vulgar the movie, the pursuit of the art of those movies people and how is the look down, I'm sorry, This arrogant attitude can only give one star.",0.85212
10,"以为打的是观众的脸，其实抽的就是自己的脸。连这种片子都有存活的空间，整个产业的生态都畸形到什么地步了，电影圈也太好混了，什么老流氓都能来嫖一嫖。真是难以想象五十年后再写现在这段电影史，得是多丑陋啊。中国真是没法儿呆了我要赶紧学好英语赶紧跑路。","Think hit is the audience's face, in fact the suction is own face. Even this film has survived of the space, the entire industry of eco are deformity to what point, the film circles too a good mixer, what the old rogue able to whoring one whoring it. Really it is difficult to imagine that fifty years after the re-write now this period of film history that is more ugly Ah. China really can't stay, I want to quickly learn English quickly run road.",0.876459
10,"以毛泽东思想，邓小平理论，三个代表，科学发展观为指导，踏踏实实走群众路线的新闻联播里插播的公益广告。———花了七十块看七点整的表示感觉自己得了雅过敏且满耳朵响着伤不起的一俗人的评论","To Mao Zedong thought and Deng Xiaoping theory, the three represents, the scientific Outlook on development as guidance, to get down to walk the mass line of the News Network in the spots of social advertising. - - - It took seventy blocks to see the seven o'clock showing feel got ya allergies and full ears ringing vulnerable of a slob comments",0.769111
10,"伟大的春晚导演。最后的道歉真是环保组织的标准宣传片啊。但这是电影啊，俗导演！ 能不能有诚意地拍一部电影呢？看到最差的贺岁片，没有之一。","The great Spring Festival Gala Director. The last apology was the environmental organization of the standard promos. But this is a movie Ah, vulgar the Director! Can't in good faith make a movie? See the worst of the surreal, no one.",0.750124
10,"低俗","Grungy",1
10,"作为一部喜剧，我全程一次都没有笑过。实际上最可笑的是今天早上冯大导在微博上的发言，他炮轰影评人看不出他电影对现实的讽刺，看不出剧情背后的深意。而现实恰恰相反，正是他那自以为犀利的毫无新意的幼稚讽刺，自以为深刻实则浅薄至极的内涵，才让这部电影成为年度大烂片。","As a Comedy, I full not once laugh. Actually the most funny thing is this morning von big lead on the microblogging statement, he blasted the critics see his movie on the reality of irony, see the story behind the meaning. And the reality on the contrary, it is He that thinks sharp the corny childish ironic, from thought deep but shallow to the extreme connotation, it make this movie become an annual large rotten pieces.",0.756825
10,"作为喜剧，笑料不多。要反讽自嘲却只是隔靴搔痒，最后假仁假义的所谓道歉简直恶心，当然最后2分钟葛大爷断不捐车的梗儿还是让我满足了不出所料的自信心。最恶心不过是富人一日梦深刻讽刺了底层挣扎的人民，冯导~ 干得漂亮，您离大众又远了一大步！","As a Comedy, the jokes not much. To irony self-deprecating, but just nowhere near, the last 假仁假义 the so-called apology is simply disgusting, of course, the last 2 minutes GE uncle off the Do not donate the car to the stems while still allowing me to meet the unsurprisingly self-confidence. The most disgusting however is the rich day dream of the deep irony of the underlying struggle of the people, von Guide to Nice, you from the masses and far a big step up!",0.783971
10,"你说他是喜剧吧，我压根没笑。你说他是政治讽刺片吧，他只敢轻轻拍，临了还得扶扶。你说他是公益片吧，只有最后那一段去保护环境。不知道想干嘛，整体电视、广播、大马路上还狂轰乱炸广告。垃圾贺岁片","You say he is a Comedy right, I didn't laugh. You said he was a political satire piece about it, and he only dare to gently beat, Pro The also have to help support. You say he is the public piece of it, only the last of that period to protect the environment. Don't know want to do, the overall television, radio, in Malaysia the road is also bombarded advertising. Garbage surreal",0.739005
10,"佩服佩服","Admire admire",1
