"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
10,"1分 算是给葛优的","A score of 1 was given to GE.",0.269596
10,"C是有多无聊？？？？白百合和李晓璐演技是有多浮夸？？？？","C there is a lot of boredom？？？？ White Lily and Li Xiaolu acting is more grandiose？？？？",0.11896
10,"一个一流的导演一个一流的编剧拍出一个三流导演的作品，你们辛苦了。","A first-class Director, a first-class screenwriter to shoot a third-rate Director's work, you hard.",0.213884
10,"一个做了那么多年导演的人，拍了那么多戏，对人性，对世界，应该有起码的了解。而他竟然仅仅因为自己的戏被人评了几句不好听的话，就愤然而起，连发七条微博。可见他的胸襟，他的见识，他的脾气。连我都不如，我才不相信电影会有什么思想！在网上看都浪费我的流量！","One did so many years Director of the who, took so much drama, the humanity, of the world, there should be at least understanding. And he turned out just because their game is people evaluation of a few bad listen to the words, just anger, however, since, even sent seven tweets. Seen his mind, his knowledge, his temper. Even I have as, I don't believe the movie will be what thought! Read on the Internet are a waste of my traffic!",0.211291
10,"一个年过半百的导演拍出这样的片我只能说你是吃屎长大的么?","A year of half a hundred of the Director to shoot such a piece I can only say that you are eat shit growing up?",0.185814
10,"一出一出一出","A out a out a out",0.251238
10,"一分不能再多了，这一分打给摄影师。","A division can no longer more, this is a fight to the photographer.",0.236199
10,"一分给宋丹丹的演技，——我不是什么粉，更不是什么黑","A give song Dan Dan acting skills--I'm not a powder, more than what black",0.266215
10,"一分都太给面子了。","A are too to face.",0.286152
10,"一厨子端了一盘翔给顾客，顾客看到当场就破口大骂，完了厨子往那微微一笑说，劳资在讽刺你们，你们一帮二逼看不出来么！？","A chef end up on a plate Xiang to the customer, the customer see on the spot yells, over the cook to get a slight smile said, labour in irony, you guys are a bunch of second force don't see what for!?",0.159426
10,"一口一个群众  负分滚粗 一星给宋丹丹","A mouthful of a mass negative points roll crude a star to the song Dan Dan",0.286801
10,"一周后，一点也想不起来这4个专家都干了嘛！！！！！","A week later, a little also not think up these 4 experts are dry.！！！！！",0.0983875
