"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
40,"一个电影人开始想回归电影人的职责的时候，却引来了千万骂声...他的勇敢尝试，会不会成为结束？","A movie people begin to want to return to the movie people of responsibility, but lead to a never scold the sound...his Brave attempt, will not be the end of it?",0.197521
40,"一分给坐在我左边的男神 他接地气接的美极了！！！！","A give to sit on my left God, he ground gas connected beautiful.！！！！",0.122896
40,"一部喜剧看得人这么悲伤。","A Comedy to see people so sad.",0.207335
40,"一部贺岁片不就是大家乐呵乐呵就够了吗？要啥自行车？","A portion of the surreal is not for everyone Le heh Le heh enough? To what bike?",0.186771
40,"一颗星给百何，一颗星给小璐，一颗星给丹丹。总体而言没有捧腹大笑，只有会心一笑。最后一颗星给感动到我的桥段。总体，很爱！","A star to the one hundred Ho, a star to the small Lu, a star to Dan Dan. Overall not laugh, only smile. Finally a star to moved to my plot of. Overall, very love!",0.214171
40,"上周末看过，没有那么多人说的那么差，看你从什么角度看，不是喜剧，讲出了现在社会的各种现象。每个段子在说不同的人和现象。从影院出来讨论了由电影引出但无关电影的问题…","Last weekend saw, not so many people say so bad, watching you from a what perspective, not a Comedy, speak out now the social phenomenon. Each piece in different people and phenomenon. From the theater out of the discussion by the film leads, but unrelated to the movie question...",0.211956
40,"为什么评价都这么低，好可怜啊。。打个四星吧！要是真有私人订制这么个职业还挺棒的。","Why the ratings are so low, so poor. A four star! If you really have a private custom such a professional is also good.",0.181858
40,"为什么这个片子评价那么低 我觉得蛮好看的呀 难道是因为我没看过甲方乙方的原因吗？","Why is this film A rating so low that I think look just fine. could it be because I haven't seen party B's reason?",0.127588
40,"为什么这部片会被恶意黑！！！！！！！！！！！！！！！！fuck！！！！！！！","Why this film will be a malicious black！！！！！！！！！！！！！！！！ fuck！！！！！！！",0.155271
40,"为毛评分都这么低啊。。觉得虽然没有冯导以前的好。。也没有这么差啊","Gross ratings are so low. But although there is no Feng guide previous. Also not so poor.",0.170844
40,"也就王朔了，谁还能写出这么犀利的本子，谁敢这么写？王朔敢，冯小刚楞是还敢拍···讽刺讽大发 了，你们这不是高端黑，你们是黑人不怕死啊，你这么黑领导干部、新锐导演、一片大好形势的祖国，你家人知道不？通不过审查？该！要我是掌权的我也不让这电影通过，什么呀，有你们这么损人的么？看过新闻","Also Wang Shuo, and who are able to write so sharp a book, who dare to write? Wang Shuo dare, Feng Xiaogang flute is also afraid to shoot the···satirical satirical big, you this is not a high-end black, you're black not afraid to die Ah, you're so black leadership cadre, the new Director, a great situation of the country, your family know? Pass review? The! If I was in power I would not let this film through, what?, have you so sense? Saw the news",0.107635
40,"今天一上豆瓣，看到评分这么低，所以我更要去电影院看看，这片到底有多烂。.好吧，我看了，没多大笑点","Today on the watercress, see ratings so low, so I want to go to the cinema to see, this piece just how rotten.. Okay, I see, not much to laugh",0.206886
40,"你有一百万 你愿意捐给别人吗 愿意.你有一千万 你愿意捐给别人吗 愿意.你有一亿     你愿意捐给别人吗 愿意.那你有一辆车 你愿意捐给别人吗 不愿意.为什么 因为我真的有一辆车","You have a million you are willing to donate to anyone else? willing to. You have a million you are willing to donate to anyone else? willing to. You have a billion you are willing to donate to anyone else? willing to. That you have a car you are willing to donate to someone else? unwilling. Why because I really have a car",0.123423
40,"关于评分这么低我的看法是，1.炒冷饭，但是假如过去没有甲方乙方评分会这么低吗，2.缺乏连贯性，王朔的剧本太频了，太抢戏了，3.群众里面有坏人，最近几年的戏分都偏低，赵氏孤儿、非诚2、1942我都认为是好戏，4.我朝子民可能不大适应荒诞。所以，多给颗星，拉拉平均分","On the score so low my opinion is that 1. A rehash, but if the past is not party a party b The score so low?, and 2. The lack of coherence, Wang Shuo's script too much frequency, too upstage, 3. The masses inside the bad guys, in recent years the games the points are low, orphan, non-Cheng 2, The 1942 I think is a good show, 4. I toward the people may not adapt to absurd. So, more to the stars, Lala the average score",0.208798
