"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
30,"1`看到豆瓣评分这么低，没有看的欲望了，.2·有俩美女陪伴，还是看了.3、没有太多的惊喜，还是跟甲方乙方更类似，如果没有看过甲方乙方的话，看这个应该更有感觉吧。","1`See watercress score so low, did not see the desire, .2·there are two beauty accompanied, or look. 3, There is no too many surprise, with party A and party B are more similar, if not seen the Party a party B while watching this it should be more feeling.",0.189951
30,"131226颐堤港。确实不怎么样，但因为预期过低所以觉得也没太糟烂，至少笑点不至于太老。最后的道歉篇莫名其妙...","131226 Indigo to. Really bad, but because expectations are too low so there is also not too bad, the rotten, at least the humor is not too old. The last apology post somehow...",0.235773
30,"2013版的甲方乙方。这个时代冯导有太多话想说，好好讲个故事多费劲，于是就一个自然段一个自然段的说教，自小的语文课都是这么学过来的。其实冯导如今的大成不必急于诋毁，这是早年开辟电影新道路的回报。出来赚些钱，又说点儿实话，又有人送钱去听说话，这就是本事。冯导这种号召力，完全可以以旗帜的","The 2013 edition of the Party a party. This era von guide have too many words want to say, take a story a lot, so it is a natural period of a natural period of preaching, from small language classes are so learn over it. In fact, von guide today's big into having to rush to slander, which is early to open up the movie The new road to return. Out to make some money, and said a little truth, and someone sent money to hear the words, that's skill. Von the Guide to this appeal, can to flag",0.203621
30,"3分是给一腔俗血的","A score of 3 is given to a vulgar blood.",0.250445
30,"just so so.江郎才尽的感觉。","just so so. Run out of ideas of feel.",0.247049
30,"一个人看喜剧，到底是喜剧还是悲剧呢？","A person watching the Comedy, in the end is a Comedy or a tragedy?",0.242146
30,"一个商业喜剧，就逗您一乐儿，是不是就不要提太多要求了？","A commercial Comedy, and will amuse you with a fun, is not it do not mention too much to ask?",0.174674
30,"一个场面、画面升级版的甲方乙方 也许是抱了太大的希望 所以也是失望 可能冯导此次想通过他的电影明晃晃的传递出正能量 但可能太直白 没给我留下什么印象 走出影院 连演了什么都不记得了  支持了票房 浪费了时间","A scene, picture an upgraded version of the Party a party B might be to hold too much hope so it is a disappointment may von the Guide The to think through his movie shining of passing out positive energy but may be too blunt didn't leave me any impression out of the theater even play the Don't remember anything to support the box office a waste of time",0.258427
30,"一个故事，一个道理，其中味道，自己品味...","A story, a truth, which taste, their taste...",0.20436
30,"一个贺岁片为啥非要上升到某个高度呢","A surreal, why did it have to rise to a certain height?",0.196034
30,"一分扣给不太连贯的剧情，一分扣给苏州那坑爹的航拍。如果饥饿游戏都有六分，这片子一定是比它高的分数","A points deduction to a less coherent plot, a points deduction to Suzhou that pit father of aerial photography. If the Hunger Games has six points, this film is certainly higher than it's score",0.24664
