"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
30,"...说好看实在太勉强，但是说不好看它有确实有逗乐儿的地方，对这种片也没啥高标准严要求，演员看着顺眼就得了，主题曲好听，最后莫名其妙的环保结局差评","...Good to see too grudgingly, but that doesn't look good it does have amused children of the place, this piece also lacks high standards and strict requirements, the actor looked pleasing to the eye., the theme song to hear, and finally somehow the eco-friendly ending to a bad review",0.857706
30,".私人定制.是很好的电影，不少金句，两个女演员有点毁，演的最好的当然是宋丹丹，个人觉得电影最好结束在丹丹的背影处，后面的还是别加了，多了。！",". Private custom. Is very good movie, quite a few Golden sentences, the two Actresses is a bit destroyed, rendering the best of course is the song Dan Dan, personally think the movie the best end in Dan at the back, behind or don't plus, and more.",0.870063
30,".私人订制.就是部主题系列小品集。抗腐这段黑色幽默明讽暗贬我觉着算是最出彩的一节，尤其秘书接茬那句：XX属狗！弃俗求雅里不知道小刚是不是在自嘲。然后最要命的是这的剪辑，不伦不类杂烩一锅端，明星主持轮番炒。最后让人人看看有钱财奴如何荒度余生。PS.奉送环节是小刚真的在给进影院的观众道歉",". Private customized. Is the unit theme series of sketches set. Corrosion this paragraph of black humor Ming satirical dark banished I think was the most out of color a section, and in particular Secretary connected stubble phrase: XX belongs to a dog! Discard the vulgar seek ya in don't know small just was not in to laugh at yourself. And then the most awsome is this clip, nondescript chowder all together, the Star of the auspices of turns to fry. Finally, let everyone look at the wealthy financial slaves how desolate the rest of your life. PS. Promotions link is small just really in to into the theater audience an apology",0.838765
30,"@2013.12.19@with郭揪揪.圆圆.牛@at 北碚嘉陵步行街UME.好坏不置可否，因为看电影的时候我睡着了~~~~","@2013.12.19@with郭揪揪.圆圆.牛@at beibei Jialing pedestrian street, UME. Good or bad noncommittal, because when watching the movie I fell asleep~~~~",0.846517
30,"12.19   第一次看首映！ 听到后面插曲的的时默默哭了。旋律很舒缓，听一下就能哼出来。歌词很质朴，朴实的一人一生。 感觉电影里边想表达的东西很多，因而显得有些杂。但感受得到作者对当下社会现实的思考及讽刺及无耐。订制着最俗的愿望，最后又试图通过丹姐，自然提高到雅的高度，但无耐最终落脚到俗","12.19 first look at the premiere now! Hear the behind the episode of the time silently crying. The melody is very soothing, listening to it will be able to hum it out. The lyrics are rustic, earthy one person for a lifetime. Feel movies inside want to Express a lot of things, and thus seem somewhat Miscellaneous. But feel that the author of the current social reality of thought and irony and with no resistance. Customized with the most vulgar desire, and finally another attempt by Dan sister, the natural increase to my height, but no resistance to the final choice to the vulgar",0.857653
30,"12.24平安夜和玥玥第一次看电影。看之前网上评价都很烂，也不知是不是自己槽点比较低，我觉得还不错呢。其实那天晚上最重要的不是电影，而是在我身边一起看电影的人。","12.24 Christmas Eve and Yue Yue, the first time watching the movie. See before online reviews are very bad, also do not know is not their own groove point is relatively low, I feel pretty good about it. Actually that night the most important thing is not the movie, but beside me, together watching a movie.",0.842908
30,"1942之后，冯导的冷炒也想炒出点人性的味道，不过若想做票房灵药，还是得一腔俗血献给观众~剧情重在反讽，喜剧不够过瘾，印象最深的是越整越漂亮的李小璐~","1942 after von guide of cold fried also want to stir the point of humanity the taste, but if you want to do at the box office elixir, or have a vulgar blood offer to the audience~the plot is heavy on the irony, the Comedy not enjoyable, the most impressive is the whole more beautiful, Li Xiaolu~",0.877384
30,"2013.12.22","2013.12.22",1
30,"2013.12.26","2013.12.26",1
30,"2013.12观影。成全别人，恶心自己。三个故事，范伟的大领导，李成儒的大导演，蔡明的女富婆，都反讽了当下社会中的一些不良风气。片尾的环保宣传有人说不知何意，其实我还蛮喜欢，只是觉得和这片子有些不搭。刚好看完这篇立即去了蜈支洲岛实景地，不由感叹冯导太会选好地，也太偏爱海南这片土地","2013.12 the concept of the shadow. The sake of others, nausea yourself. Three stories, fan Wei the great leader, Lee sung Confucianism of the great Director, Tsai Ming female rich woman, all the irony of contemporary society in some bad culture. Credits environmental advocacy and someone said Don't what is intended, in fact I quite like it, just think and this film some not. Just reading this article immediately went to wuzhizhou Island real, could not help lamenting the von guide too would be good, too preference Hainan this piece of land",0.899217
30,"2013-12-23。比非诚勿扰好看多了，起码能笑出来。跟甲方乙方比的都歇菜吧，那会儿眼界有现在开阔吗，随便一个片子大家都觉得好看。现在看了上千上万部了，段子早听腻了，国外也去遍了，什么没见过，当然标准都高。跟自己比是进步，口碑说差那也是满满的恨铁不成钢，绝对的爱。","2013-12-23。 Than if you are the one looking more, at least be able to laugh out. With Party a party B than the are. right, that time horizons are now open that, just a film we all felt nice. Now look out on thousands portion, piece early tired of hearing, foreign also To of times, what I haven't seen, of course, standards are high. With their own than is the progress, the reputation of that difference that is also full of 恨铁不成钢, absolutely love.",0.914865
30,"2014.01.01","2014.01.01",1
30,"2014.02.09","2014.02.09",1
30,"2014.02.16","2014.02.16",1
30,"2014.1.31","2014.1.31",1
30,"2014.1.9","2014.1.9",1
30,"2014.2.10","2014.2.10",1
