"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
30,"，",",",1
30,".私人定制.5分，有人说这电影看的满腔怒火，那可能是他早有怒火。这剧不涉及意识形态。有人说从电影角度讲它绝对零分，其实不然，开始乱的第二段完全靠剪辑支撑，电影的剪辑是合格的。能起作用的地方都尽力了。范伟第一段是合格的。王朔挽歌，不会写类型喜剧的编剧以后都逐渐要被淘汰【分数范围4-5分】","Personal custom.5 points, some people say the film is full of anger, that may be his early anger. The play does not involve ideology. Some people say that it is absolutely zero from the angle of the film, but it is not, the second parts of the start are completely supported by the clips, and the film's editing is qualified. The place where it works is all the best. The first paragraph of Wei Fan is qualified. Wang Shuo, who does not write the type of comedy, has been phased out [4-5 points].",0.857126
30,".私人定制.是很好的电影，不少金句，两个女演员有点毁，演的最好的当然是宋丹丹，个人觉得电影最好结束在丹丹的背影处，后面的还是别加了，多了。！","Private customization. Is a very good film, a lot of gold, two point actress has destroyed, the best actor is Song Dandan, personally feel that the best film at the end of the back of the back at Danny, or don't add much.!",0.854022
30,"～～～","~ ~ ~ ~",0.851681
30,"12.24平安夜和玥玥第一次看电影。看之前网上评价都很烂，也不知是不是自己槽点比较低，我觉得还不错呢。其实那天晚上最重要的不是电影，而是在我身边一起看电影的人。","12.24 Yue Christmas Eve and the first movie. Look before the online evaluation is very bad, I do not know whether or not their own trough is relatively low, I think it is good. In fact, the most important thing that night was not the movie, but the person who was watching the movie with me.",0.873859
30,"13.12.24cinema","13.12.24cinema",1
30,"1997的外衣，2013的里子，冯导始终这么真诚、接地气，具时代感。它借着商业电影的模式，对社会现实提出质疑与挑战，如果能博得观众会心一笑，一声叹息，一点儿思考，就达到效果了。它无谓去描述这个世界是不是合理，而是告诉我们人心向善，让我们在现实生活中，真切地找到自己的位置。","1997 of the coat, 2013 of the Li, Feng guide is always so sincere, ground gas, with the sense of the times. It challenges and challenges social reality through the mode of commercial movie. If we can win the audience's smile, sigh and think, we will achieve the result. It is unnecessary to describe this world is not reasonable, but we tell people to do good deeds, let us in real life, to find their own position clearly.",0.84612
30,"2013.12.20 晚","2013.12.20 late",1
30,"2013.12.21保利","2013.12.21 Pauli",1
30,"2013.12.22","2013.12.22",1
30,"2013.12.26","2013.12.26",1
