"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
20,"︶︿︶","^))",0.761379
20,".2014百部看过才知道优不优秀影片展播.观众已不是甲方乙方时的观众，冯导还是那时的冯导。何弃疗、我伙呆、人干事、累觉不爱、神马玩意！导春晚导傻了吧？随便凑几个小品就敢上映？这不就是华谊内部年会吗？水平介于2014春晚和2014NBA全明星扣篮大赛之间，鉴定完毕。原来名导队伍里也有混事儿的啊。",".2014 100 seen only know good movies. The audience is not the Party B when the audience, or when the Pingdao pingdao. How to abandon the treatment, my gang, the person, the tired sense, the horse! Is it silly to guide the Spring Festival evening guide, right? How dare to make a few sketches to be shown? Is this the annual meeting of Huayi? The level is between 2014 spring and night and the 2014NBA all star dunk contest. The original directing teams have mixed Shier.",0.829856
20,".私人订制. 太烂了 ，虽说是喜剧不求剧情但这三段牵强到不知梗在那。结尾处环境论纯属乱入。广告真心看不过去了剑南春和冯导才是国民Cp吧。小路同志的胸让人出戏。","Private custom. Sucks, although it is not for the three comedy drama section far fetched to know in the stem. At the end of the environment, the theory of environment is purely disorderly. Advertising really can't see the past and the national Cp Daocai Jiannanchun Feng. The breasts of the path comrades make people play.",0.805415
20,"【相见不如怀念】其实两星是给葛优的脸的，其他的就真是太烂了，尤其是结尾我开始玩手机了【里头的梗还没说，ｐ哥在旁边都能接嘴说下去了，段子水平可见一斑，就别提题材挖掘表现之类的】还好这张电影票不是我自己花的钱","[] the stars is actually not miss each other to Ge You's face, the other is really sucks, especially at the end I started playing mobile phone [inside the stems have not said that in the next P brother can take mouth down, not to mention the remarkable level of scripts, such as theme mining performance]. This ticket is not my own money",0.75004
20,"【触动。】当宋丹丹上车，电台响起时间都去哪里了，眼泪顿时往外窜，这是我第一次觉得，时间都去哪里了是好听的。","[touch. When Song Dandan got on the car, the radio sounded where the time went, and the tears ran away. This is the first time I think it's good to see where the time goes.",0.830816
20,">.<这是多久之后才坐到第一排，说点关于电影的，明明知道不好看还是去凑热闹了，确实不好看，前两段故事很无聊，换血雅中毒虽然想象力丰富，但始终喜剧喜剧笑不起来冯的贺岁我还是喜欢天下无贼~","How long is it >.< after sit in the first row, say something about the film, knowing that not pretty or Qucourenao, does not look good, the two story is boring, shake Ya poisoning although rich imagination, but always laughing comedy Feng's new year I still love A World Without Thieves.",0.759466
20,"……我分析不出什么东西来，但总之就是不太好看啊(；′⌒`) 每段都很微妙……笑点和嘲讽点都没到位的感觉orz而且最后忽然画风一转变成了思想道德教育片|||也没啥槽点……就，囧囧的……orz","...... My analysis is not what things, but it is not nice ah (; '- `) of each segment is very subtle...... Bursting point and ridicule didn't feel orz in place and finally suddenly turned into a style of Ideological and moral education ||| piece nothing trough point...... It embarrassed, embarrassed...... Orz",0.856839
20,"1.开头的引子像小品，搞笑功能尚可。2.范伟的故事老实讲还不错，看出了些导演想要表达和讽刺什么的影子。3.后面的就可劲扯吧。冯导，你赢了。","The introduction at the beginning of the 1. is like a sketch, and the function of funny is still available. 2. Wei Fan's story is a good story, and it sees the shadow of what the director wants to express and satirize. 3. the back, you can pull it. Feng Dao, you win.",0.812437
20,"1.王朔完全无视编剧技术，故事碎到只能到碗里来。2.这片要不是冯小刚拍，骂的人和看的人都会少很多。3.第一段落在深省和反思，第二段落在自嘲和嘲世，第三段落在耸人和感人。4.从第二段落说明冯小刚还是辣个火爆自大的冯小刚。5.我不觉得时间都去哪了多感人，但宋丹丹那一瞬间演技爆发，真感人。","1. Wang Shuo completely ignored the screenplay technology, the story was broken to the bowl. 2. this is not Feng Xiaogang's shot, the scolding people and the people are going to see a lot less. The first 3. paragraphs in enlightening and reflection, self mockery and ridicule in the second paragraph, third paragraph in a sensational and moving. 4. from the second paragraph shows that Feng Xiaogang is a hot and hot Feng Xiaogang. 5. I don't think there's much time to go, but Song Dandan's instant acting burst out. It's really touching.",0.802594
20,"1.矫揉造作的很。2.想表达的很多，一个也没说清楚。最后一段太出戏。3.之前的对骂中冯小刚说第三个故事是讽刺影评人的，但是这个故事他对高雅和庸俗分界的理解幼稚浅薄，也根本毫无意义。感觉到美就是好的，管他是高雅庸俗，自有受众，您别恶心人就好。4.本想打三分，但怎么能跟无人区一个档，果断减星","1. very affectation. 2. to express a lot of, one is not clear. The last paragraph was too dramatic. 3. Feng Xiaogang said before the match third story is a satire of critics, but the story of his childish understanding of elegant and vulgar boundaries are shallow, has no meaning at all. The feeling of beauty is good, he is the elegant vulgar, the audience, you do not feel sick. 4. would like to play three points, but how to keep a file from the unmanned area and cut the star decisively",0.816188
