"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
30,"……人生若只如初见啊…还是甲方乙方有味道…三颗星只是为了怀念过去的贺岁…这个片子春晚小品的质感啊……","...... Life is just like the first sight. Party A or Party B has a taste of taste. Three stars are just to miss the past year of congratulations. The texture of this piece of Spring Festival Gala...",0.220698
30,"1`看到豆瓣评分这么低，没有看的欲望了，.2·有俩美女陪伴，还是看了.3、没有太多的惊喜，还是跟甲方乙方更类似，如果没有看过甲方乙方的话，看这个应该更有感觉吧。","1` saw that the bean score was so low that there was no desire to see it..2. Accompanied by two beauties, she still read.3. There was not much surprise. It was more similar to that of Party A B. If we did not see Party A, we should feel more.",0.0965986
30,"2013年版甲方乙方","Party A Party B, Party A, 2013 Edition",0.212646
30,"2013年的电影真是不能看啊 下午看了等风来太烂 这部也就投入制作大一点吧 明星大牌一点吧  跟甲方乙方不是类似的么？","The 2013 movie really can not see the afternoon saw the wind to suck it into production is a bit a bit with the big star of Party A Party B is not similar?",0.235988
30,"2013版甲方乙方 却远不如甲方乙方。天下无贼之后 冯小刚再也不是那个冯小刚了。","Party A Party B of the 2013 edition is far less than Party A Party B. Feng Xiaogang was no longer the Feng Xiaogang after the world had no thieves.",0.1301
30,"2013版甲方乙方吗！","Is Party A Party B Party B 2013?",0.179833
30,"2013版的甲方乙方。这个时代冯导有太多话想说，好好讲个故事多费劲，于是就一个自然段一个自然段的说教，自小的语文课都是这么学过来的。其实冯导如今的大成不必急于诋毁，这是早年开辟电影新道路的回报。出来赚些钱，又说点儿实话，又有人送钱去听说话，这就是本事。冯导这种号召力，完全可以以旗帜的","Party A Party B of the 2013 edition. In this era of Pingdao just want to say, to tell a story more difficult, so a paragraph of a paragraph from preaching, teaching Chinese is so over. In fact, Feng guide today's Dacheng does not have to be eager to slander it, which is the return of the new way of opening up the film in the early years. It is the ability to make some money, to tell the truth, and to send money to listen. Feng Dao's appeal is completely flags",0.105734
30,"5分的剧本，2分的表演。","A 5 - point play, a 2 - point performance.",0.252377
30,"97年的甲方乙方到13年的私人定制这么多年了白日梦一刻都没停止啊","97 years of Party B, Party B to 13 years of private customization so many years of daydreaming have not stopped a moment.",0.221005
30,"Remake of 甲方乙方。not THAT bad?","Remake of Party B Party B Party B. Not THAT bad?",0.242916
30,"一个商业喜剧，就逗您一乐儿，是不是就不要提太多要求了？","A commercial comedy, amuse you a fun, is not to mention too much to ask?",0.151847
30,"一个商业片却做得很文艺范，牵强的剪辑，但是逗人发笑还是有的，自认为这就够了，大家就是图一乐","A commercial film has done a lot of literature and art, a far fetched clip, but there is a laugh or a laugh. I think it's enough. Everyone is a picture.",0.217727
30,"一个想将成笑话的悲剧故事：拥有的不珍惜，不得的瞎折腾。 更悲伤的是，这一切是真的。","A tragic story that would like to be a joke: not to cherish, not to be blind. And the sad thing is that all this is true.",0.188499
30,"一个故事，一个道理，其中味道，自己品味...","A story, a truth, the taste, the taste of its own...",0.243794
30,"一个时间分配不均的创意电影，不过看了后人还是能有想法的。如果梦想真的是那么遥不可及的话，那么还是让它那么的遥不可及吧，因为短暂的实现，也是可怕的。","A creative movie with an uneven distribution of time, but it is still possible to think about the future. If the dream is so unreachable, then let it be so far away, because the short realization, is also terrible.",0.198797
30,"一个点子，第一次搬上荧幕是精品，第二次搬上荧幕怎么看怎么没味道。","A idea, the first time to move on the screen is a fine, the second time to move on the screen how to see how no taste.",0.24791
30,"一分给马年一分给范伟一分给葛大爷…","A part of a horse to Wei Fan to ge uncle...",0.20101
30,"一句话总结免得以后想不起来讲的什么：甲方乙方续集，为各种挫人实现梦想。在电影院看的，同去的美眉笑点超低，许多地方莫名其妙。最后草原塌陷的场面震惊了我，人类这种环境癌细胞还是快灭亡好了","A sentence to sum up what to avoid what to say later: Party A Party B sequel, for all kinds of frustrates to realize the dream. In the cinema, the same beautiful eyebrows laugh a little too low, and many places are indescribable. In the end, the scene of the collapse of the grassland shocked me. The human environment cancer cells are still dying out.",0.186308
30,"一喜剧  到最后你非要整点说教  而且还那么的违和！！！！！！","A comedy in the end you to the whole point of preaching but also so molimen!!!!!!",0.176181
30,"一星恶评如此多，可总评却还是三星，除了水军，恐怕跟我这样要求不高的观众也很多吧。","A star so many bad comments, but can be general or Samsung, in addition to Navy, I am afraid that with me do not ask for the audience a lot.",0.242975
30,"一星给几句台词，一星给片尾的公益广告，一星给不接地气的冯导，俗了那么多年何不就一俗到底呢。","One star to a few lines, a star to the end of the public service advertising, a star to the ungrounded Feng Dao, so many so many years do not go to the end of a vulgar.",0.228941
