"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
20,"........冯小刚？？？","... Feng Xiaogang???",0.189942
20,"★★，不能再多了","* *, no more",0.206598
20,"1，音乐值得一提；2，没笑过；3，没人物；4，没完整性，不过要是拍成四个微电影其实还可以，每个段落都有一些导演想表达的东西，不过连在一起根本不知道他想表达什么；5，荒诞无聊","1, music is worth mentioning; 2, no laugh; 3, no one; 4, no integrity, but if it's made into four micro films, it can still be done. Every paragraph has some directors' wishes to express, but even together, it doesn't know what he wants to say. 5, absurd and boring.",0.229965
20,"1.广告多；2.说教目的性太强；3..2分送给白百合的小肚腩。。。","1. ad; 2. didactic purpose is too strong; 3..2 points to the white lily tummy...",0.278226
20,"16年一轮回，同样是在讲中国梦，上次小刚很接地气，现如今生活水平提高了，往上抬了点，接上了脚气。二位大佬是真老了，从头到尾的说教，掏老百姓兜儿的同时还不忘恶习我们一把。","A cycle of 16 years, is also talking about China dream, the last is Xiaogang down to earth, today's living standards improve, to lift up the point, connected to the beriberi. Two big brothers is really old, from A to Z preaching, people dig Douer also not forget the bad habits we a.",0.160515
20,"19号看了私人定製 最近忙 今天來寫個影評 個人比較喜歡馮導 所以去之前印象分不差 影片真是做到了成全別人噁心自己 故事沒什麼太多內涵 很多點也不怎麼新 全片亮點不多 但是最後我看哭了 因為自己淚點奇葩 因為看到惡劣的環境  這個電影可以隨便看看。","19 see the private custom recently busy today to write a movie love Pingdao so to go before the impression is not bad movie is really do help others sick your story nothing so much is not how many new highlights film is not much but finally I cried because my tears flower because the bad environment can easily see this movie.",0.252924
20,"1算不上是一部完整电影 2第一个故事具有说服力和讽刺意味 3后面两个故事很牵强 4非常厌恶最后的环保说教，电影就是电影，如果仅仅用说教的方式呼吁大家环保那也太低级了 5有一定笑点 如果只是想笑  这电影值得一看 6电影不是小品不是恶搞的段子  冯小刚显然只是想骗钱","1 is not a complete movie 2 first story convincing and ironic 3 behind two stories is very far fetched 4 hate final environmental preaching, a movie is a movie, if only appeal to everyone that environmental lecturing is low 5 a bursting point only if you are worthy of this movie a look at the 6 pieces of film is not is not a parody piece Feng Xiaogang apparently just wanted to get money",0.25796
20,"21世纪版甲方乙方","Party A Party B, Party A, twenty-first Century Edition",0.229087
20,"wtf??????????????????咱还不如去看高德的游戏！！！！！！！","WTF????????????? I'd better go to GAD's game!!!!!!!!",0.0507407
20,"一：植入广告太明显.二：俗不俗雅不雅.三：没有地气.四：逗您玩.五：解闷可以看看","A: advertising too obvious. Two: tacky. Opinion three: no gas. Four: Five: boredom tease you play. You can see",0.27647
20,"一个字，乱！想讽刺社会的各种现象，却让人毫无头绪！","A word, messy! I want to satirize the various phenomena of society, but there is no clue.",0.292503
20,"一个字，乱，大杂烩","A word, a mess, a hodgepodge",0.288651
20,"一个字，乱。用电影的话就是 成全别人，恶心自己。两星给时间都去哪儿了","A word, messy. To use a movie is to be a whole person, disgusting yourself. Where did the time go to two",0.253657
20,"一个字，俗；两个字，很俗。如果就为了票房或者什么人情而拍个电影，你他妈滚蛋。。。蛋。。。","A word, vulgar; two words, very vulgar. If you shoot a movie at the box office and to or what human, you fucking go... Egg.",0.276559
20,"一个导演带着一群优秀的演员拍了一部小成本的电影，剧本放在十年前还略有创意，可现在看来还是稍缺诚意。。","A director took a small cost movie with a group of excellent actors. The script was a little creative ten years ago, but now it still lacks sincerity.",0.223126
20,"一个说相声的，非要天天努着劲儿搞诗歌朗诵，自己不累观众看着都累，何必呢","A talk of cross talk, it is not necessary to do poetry reading every day, I do not tired of the audience watching all tired, why?",0.204439
20,"一分送给葛大爷……一分送给天浴女……","One for Grandpa ge... A day for women......",0.242704
20,"一句话，甲方乙方的接地气多了","In a word, Party A Party B's ground gas is much more",0.28989
20,"一句话总结，太令我失望了................","A summary of a sentence makes me disappointed...",0.222832
20,"一场YY的梦，到底成全了谁恶心了谁。时间都去哪了？","A dream of YY, who is completely disgusted. Where did the time go?",0.257046
20,"一声叹息。。。在影院随便笑笑吧。。","A sigh. Laugh at the cinema.",0.287966
