"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
10,"0分。能不能一星不给打零分？ 看完默默地想骂娘，这部用最僵硬的方式咯吱你的电影，不值得你花任何一分钱走进电影院。冯小刚 恶心所有人，毁了自己。拍顽主甲方乙方的时候，他是奋斗青年，接地气，激扬文字，粪土当年万户侯。这几年成了领导，大腕，而且严重违背群众路线，用富人特有的矫情来意淫百姓","0 points. Can a star to zero? Reading silently like us, the most rigid ways to tickle you movie, not worth spending any money into the cinema. Feng Xiaogang was disgusted with all the people and destroyed themselves. When shooting Wanzhu Party B, he is the struggle of youth, down to earth, jiyangwenzi, dirt then 10000 hou. In recent years, became a leader, known, but also a serious breach of the mass line, with the rich unique to the people so hypocritical",0.296706
10,"13版甲方乙方，没啥好笑的","Party A of the 13 edition, Party B, nothing funny",0.300947
10,"1颗星都嫌多。什么叫成全别人恶心自己？你TM明明是成全自己恶心了别人！！！","1 stars are too much. What is the nausea of others? You TM clearly make yourself sick of others!!!",0.248029
10,"97年的甲方乙方已经达到了这个高度，近二十年了还是这样，还说观众喜欢的都俗片，不喜欢的都雅，屁。真是恶心观众，成全自己啊。","97 years of Party A Party B has reached this height, nearly twenty years or so, also said that the audience like the popular film, do not like the elegant, fart. It's a nauseous audience.",0.23609
10,"C是有多无聊？？？？白百合和李晓璐演技是有多浮夸？？？？","How boring is C???? Are the white lilies and Li Xiaolu's acting boasting????",0.148417
10,"一上来就想起来甲方乙方，却远不如甲方乙方那样笑的深刻。看这电影纯粹浪费时间。","On the one hand, Party B is more likely to laugh than Party A and Party B. It's a pure waste of time to see the film.",0.299753
10,"一个一流的导演一个一流的编剧拍出一个三流导演的作品，你们辛苦了。","A first - class director, a first - class screenwriter, took a three - stream director's work, and you worked hard.",0.244253
10,"一个年过半百的导演拍出这样的片我只能说你是吃屎长大的么?","A fifty years director to shoot this film I can only say that you are eating shit up?",0.200857
10,"一个没笑点的喜剧片还不如让我再看一遍风暴呢 起码精神点","A comedy that doesn't laugh is better for me to watch the storm again.",0.303254
10,"一个胡萝卜一个苹果一根葱，旁边再加个樱桃，不知道是什么菜.","A carrot, an apple and a onion, and a cherry next to it, don't know what it is.",0.302861
