"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
50,"4JIA1","4JIA1",1
50,"fengci","Fengci",1
50,"SHZGRKDDY","SHZGRKDDY",1
50,"testtest","Testtest",1
50,"反讽喜剧","Ironic comedy",1
50,"发人深省","Thought-provoking",1
50,"各种讽刺各种暗喻","Various metaphorical satire",1
50,"喜剧","comedy",1
50,"喜剧，讽刺","Comedy, satire",1
50,"好看，幽默","Good-looking, humorous",1
50,"寓意深刻","Profound meaning",1
50,"平衡分数","Equilibrium fraction",1
50,"恶心喷子","Disgusting Troll",1
50,"提倡环保","Advocate environmental protection",1
50,"支持一下","Support",1
50,"无愧","Worthy",1
50,"深奥","profound",1
50,"深思","Ponder",1
50,"特别赞 必须的","Particularly necessary",1
50,"环保","environmental protection",1
50,"白日梦般的现实","Daydream realities",1
50,"看分不平","Unequal",1
50,"立场坚定","firm standpoint",1
50,"精彩","Marvellous",1
50,"给回血","Blood supply",1
50,"还行的说","Still saying",1
50,"陪葬品","Funerary",1
