"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
50,"4JIA1","4JIA1",1
50,"fengci","fengci",1
50,"SHZGRKDDY","SHZGRKDDY",1
50,"testtest","testtest",1
50,"反讽喜剧","Ironically comedy",1
50,"发人深省","Thought-provoking",1
50,"可圈可点","Commendable",1
50,"各种讽刺各种暗喻","Various satirical metaphors",1
50,"喜剧","comedy",1
50,"喜剧，讽刺","Comedy, irony",1
50,"大师作品","masterpiece",1
50,"寓意深刻","Meaning profound",1
50,"寓言故事","Fable",1
50,"恶心喷子","Nausea spray",1
50,"挺好看的···轻松愉快有感觉。哈哈··生活就是这么简单，想作就作，哈哈互相逗乐吗···","Very nice, relaxed and happy. Haha · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·",0.974191
50,"挺有教育意义的","Quite educational",1
50,"提倡环保","Promote environmental protection",1
50,"无愧","Worthy",1
50,"有意义","Significant",1
50,"有意思，有态度。","Interesting, attitudinal",1
50,"深奥","profound",1
50,"深思","Thinking deeply",1
50,"环保","Environmental protection",1
50,"白日梦般的现实","Daydreaming reality",1
50,"笑～","Lol",1
50,"笑尿了","Laughing",1
50,"给力，不错.给力，不错..给力，不错.给力，不错..给力，不错.给力，不错..给力，不错.给力，不错","To force, good. To force, good .. To force, good. To force, good .. To force, good. To force, good .. To force, good.",0.977148
50,"讽刺的喜剧","Satirical comedy",1
50,"醒着做梦","Awake dreaming",1
