"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
30,".............ER",".............IS",1
30,"...说好看实在太勉强，但是说不好看它有确实有逗乐儿的地方，对这种片也没啥高标准严要求，演员看着顺眼就得了，主题曲好听，最后莫名其妙的环保结局差评","... Saying is too reluctant to look good, but do not say it does not look good there is indeed a place for amusements, this film also lacks high standards and strict requirements, the actors look pleasing to the eye, the theme song nice, the last baffling environmental outcome Bad review",0.932526
30,".私人定制.5分，有人说这电影看的满腔怒火，那可能是他早有怒火。这剧不涉及意识形态。有人说从电影角度讲它绝对零分，其实不然，开始乱的第二段完全靠剪辑支撑，电影的剪辑是合格的。能起作用的地方都尽力了。范伟第一段是合格的。王朔挽歌，不会写类型喜剧的编剧以后都逐渐要被淘汰【分数范围4-5分】","Private custom .5 points, some people say that the movie looked full of anger, it may be that he had long anger. This drama does not involve ideology. Some people say that it absolutely points from the film point of view, it is not true, began the chaos of the second paragraph entirely by the clip support, the film's clip is qualified. Wherever it works, I try my best. Fan Wei first paragraph is qualified. Wang Shuo elegy, will not write the type of comedy writers gradually have to be eliminated after the score range of 4-5 points",0.821109
30,".私人订制.就是部主题系列小品集。抗腐这段黑色幽默明讽暗贬我觉着算是最出彩的一节，尤其秘书接茬那句：XX属狗！弃俗求雅里不知道小刚是不是在自嘲。然后最要命的是这的剪辑，不伦不类杂烩一锅端，明星主持轮番炒。最后让人人看看有钱财奴如何荒度余生。PS.奉送环节是小刚真的在给进影院的观众道歉","Private custom. Is part of the theme series essays. Anti-corrosion of this dark humor Ming irony devaluation I think it is the most colorful section, especially the Secretary then stubble phrase: XX is a dog! Abandoned Ali seeking do not know Xiao Gang is not self-deprecating. Then the most terrible thing is this clip, unscrupulous pot of fry, the stars chaotic fried round. Finally, let everyone see how wealthy slaves spent the rest of their lives. PS. Send part of the small Gang really apologize to the audience in the cinema",0.837218
30,"@中影","Effect",1
30,"1.还好没去电影院看，电脑上看都觉得无聊 2.这不是喜剧吗，为什么有葛优和范伟我都笑不出来 3.为什么白百何是第二主演，李小璐不生气么 4.第一段好长，第二段好乱，第三段好......歌，第四段来得好莫名其妙","1. Fortunately did not go to the cinema to see, feel bored on the computer 2. This is not a comedy, why Ge You and Fan Wei I can not laugh out 3. Why Bai Bai Ho is the second starring, Li Xiaolu not angry What 4. The first Paragraph long long, the second paragraph of good chaos, the third paragraph is good ... ... The fourth paragraph to baffling",0.819942
30,"12.19   第一次看首映！ 听到后面插曲的的时默默哭了。旋律很舒缓，听一下就能哼出来。歌词很质朴，朴实的一人一生。 感觉电影里边想表达的东西很多，因而显得有些杂。但感受得到作者对当下社会现实的思考及讽刺及无耐。订制着最俗的愿望，最后又试图通过丹姐，自然提高到雅的高度，但无耐最终落脚到俗","12.19 The first time to see the premiere! When I heard the back episode silently cry. Melody is very soothing, you can hum to listen to it. The lyrics are very rustic, simple one-man life. I feel a lot of things to express inside the movie, so it seems a bit complicated. But feel the author's thinking of the current social reality and ironic and impatient. Custom the most common wishes, and finally tried to Dan sister, naturally raised to the height of Ya, but no end to end impatience vulgar",0.861732
30,"13.12.24cinema","13.12.24cinema",1
30,"2013.12.21保利","2013.12.21 Holding",1
30,"2013.12.22","2013.12.22",1
30,"2013.12.26","2013.12.26",1
30,"2013-12-23。比非诚勿扰好看多了，起码能笑出来。跟甲方乙方比的都歇菜吧，那会儿眼界有现在开阔吗，随便一个片子大家都觉得好看。现在看了上千上万部了，段子早听腻了，国外也去遍了，什么没见过，当然标准都高。跟自己比是进步，口碑说差那也是满满的恨铁不成钢，绝对的爱。","2013-12-23. If you're better than non-interference, at least can laugh. Party B than with the Party Caili it, what moment of vision now open it, just a film we all feel good. Now read the tens of thousands of the Department, the paragraph as early as tired, abroad also went through, what have not seen, of course, high standards. Compared with their own progress, poor reputation that is full of iron steel, steel, absolute love.",0.868191
30,"20131226 C.L","20131226 C.L",1
30,"20131231妈妈","20131231 Mom",1
30,"2014.01.01","2014.01.01",1
30,"2014.02.09","2014.02.09",1
30,"2014.02.16","2014.02.16",1
30,"2014.1.31","2014.1.31",1
30,"2014.1.9","2014.1.9",1
30,"2014.2.10","2014.2.10",1
30,"2014.2.23","2014.2.23",1
30,"2014.2.5","2014.2.5",1
30,"2014.3.29","2014.3.29",1
30,"2014.3.9","2014.3.9",1
30,"2014.6.19","2014.6.19",1
30,"2014.6.26","2014.6.26",1
30,"2014-01-04-1440G","2014-01-04-1440G",1
30,"2014-02电脑---网上评价不高，迟迟未去电影院看。老公下载到电脑了，那就看吧。初始印象是还不错啊，画面精致，情节活跃，越往后越觉得确实一般般。在什么都是优质的情境下，核心的故事不吸引人。","2014-02 Computer --- Online evaluation is not high, did not go to the cinema to see. Husband downloaded to the computer, then see it. The initial impression is not bad ah, exquisite picture, the plot is active, the more the more feel after the general like. In everything the quality of the situation, the core of the story is not attractive.",0.855058
30,"20140904 烂尾","20140904 Unfinished",1
30,"2014冯小刚执导春晚排练现场，王朔小说的犀利和老腕演技的精湛完全显示出了冯导的俗不可耐与漫不经心。可以预见的是明年春晚这种商业利益、政治导向、群众诉求混杂于一身的特别演出一定可以成功（没想到也很无聊），但这一切都与电影无关了","In 2014, Feng Xiaogang directed the rehearsal scene of the Spring Festival Gala. The sharpness of Wang Shuo's novel and the skill of the old wrist show the invulnerability and carelessness of Feng guide. It is foreseeable that next year 's Spring Festival Evening this commercial interest, political orientation, the public appeal mixed in a special performance will be successful (did not think it is very boring), but all this has nothing to do with the movie",0.849679
30,"2015.6.19","2015.6.19",1
30,"3.5星为了扳回分值和cast/傲娇脸。这样的电影，主要图着一个词：轻松。过个年大家伙好好的卸下压力放松放松，看啥不好？这样的剧就成，本身来说，编剧还是有想法在里边，就是有些地方太俗，烂了结尾。欠缺点精髓...还是能算个不错。","3.5 stars in order to regain the score and cast / proud Jiao Lian. Such a movie, the main figure of a word: easy. After a year big guy good relieve pressure to relax, to see what bad? This drama becomes, in itself, writers still have ideas inside, that is, some places are too vulgar, rotten the end. Lack of point essence ... or can be considered a good one.",0.834614
30,"6fen","6fen",1
30,"6分。1、结构是硬伤，吃老本也很没创意。2、还是有些为应付审查的力不从心。3、前面的讽刺和结尾部分的煽情与诚意风格很不搭，但也因为最后那一部分给加了点分。","6 points. 1, the structure is flawed, eating the original is also very creative. 2, there are still some unable to cope with the review. 3, in front of the satire and ending part of the sensationalism and sincerity style is not take, but also because of the last part to be added points.",0.797746
30,"7/10，演员都很好，最喜欢范伟的第一段，结尾的出发点很好，只是执行的太矫情，低于冯导的平均水准，就这。","7/10, the actors are good, favorite Fan Wei's first paragraph, the end of the starting point is very good, but the execution is too hypocritical, below the average level of Feng guide, that's it.",0.893217
30,"Personal.Taulor.2013.1080p.WEB-DL.x264.AAC-SmY","Personal.Taulor.2013.1080p.WEB-DL.x264.AAC-SmY",1
30,"quanminzaomengpian","quanminzaomengpian",1
30,"Soso吧，不抱有太高期望的心态去看还是可以的。主旋律味道过重，汤煮的老了，没有玩好点而不破欲拒还羞的招术，只得囫囵吞下而未能口留余香，最后的公益广告插播给跪。","Soso, do not have too high expectations of the mentality to see or not. The main theme of the taste is too heavy, soup cooked old, did not play good point without shame desire to shame the trick, had to swallow and failed to linger fragrance, the last public service announcements broadcast to kneel.",0.845397
30,"tianne","tianne",1
30,"一半一半，不够紧凑，要表达的东西太多，有种堆砌的感觉。范伟的一段，算是比较出彩的，因为刚开始看，所以比较新鲜。等到宋丹丹，就彻底疲劳了，PS：此段最后王铮亮的歌曲还是不错滴~结尾处几个人代表人类对环境的破坏道歉，显得有点不伦不类，尽管感觉很真诚，让人很感动。","Half and half, not compact, too many things to express, a kind of pile of feeling. Fan Wei's period, be more color, because just started to look, so more fresh. Until the song Dandan, completely exhausted, PS: Wang Zhengliang last song of this section is still good drop ~ At the end of several people on behalf of mankind to apologize for the destruction of the environment, it seems a little neither fish nor fowl, although the feeling is very sincere, people are very touched.",0.798632
30,"一头一尾不知所云","Unknowingly",1
30,"一般，可能是期望值太高，看完挺失望。笑得不彻底，情节一般。到是王铮亮的歌配上宋丹丹的表演还是瞒感染人的。结局的教育片毫无意义，女演员无演技。","In general, expectations may be too high, looked very disappointed. Laugh is not complete, the plot in general. To Wang Zhengliang song accompanied by Song Dandan's performance or conceal infected people. End of the education piece meaningless, actress no acting.",0.815283
30,"一般偏难看，也就第一个故事还可以，大家都在怀念说甲方乙方多好，专门又重看了一遍~大家都是为了吐槽一部剧抬高另一部剧，其实两部都不咋地.ps  苏州 三亚宣传片即视感","Generally difficult to see, but also the first story is OK, we all miss that Party B Party B good, special and re-read it - everyone is to Tucao a drama raising another drama, in fact, both Not good .ps Suzhou Sanya promotional video that is",0.816085
30,"一般吧，开头很精彩，结尾很糟心，虽然继续发扬了连讽刺再挖苦的优良美德，但牵强的结尾，不适当的煽情，过于夸张的表演，白瞎了公益广告，可惜了宋丹丹和李成儒","In general, the beginning is very good, very bad at the end, although continue to carry forward the satirical and even sarcastic virtues, but far-fetched end, inappropriate sensationalism, over-exaggerated performances, blind public service ads, but unfortunately Song Dandan and Li Chengru",0.850491
30,"一般吧，范伟那片段好，范伟说等明年攒够钱了再来。这好。其他两段都一般般有点勉强。后面一段道歉的和定制都没关系，虽然主旨是好的。如果后面两段都像范伟那结局那样就会好点。虎头烂尾的感觉。","In General, Fan Wei that fragment is good, Fan Wei said that next year, save enough money again. This is good. The other two are generally a bit reluctant. The latter apology and custom are okay, although the main idea is good. It would be better if both of the latter two were like Fan Wei's ending. Unshaven feeling.",0.915543
30,"一般吧，说不上太惊艳，也说不上有多差劲，只是也许是从心底里觉得冯导葛大爷的片子肯定差不了，期待的高度虚了。去电影院之前在豆瓣看了好几页影评，心里主观觉得费劲了，不过最后还是去看了，电影院坐满了，现在谁还能有这么大的影响力能把这么多人聚到影院来呢。老人表现的可圈可点，很好！不过新人","In General, can not be too amazing, can not be described as bad, but perhaps from the bottom of my heart, I think Feng Dage Ge uncle's film is certainly not worse, looking forward to a high degree of virtual. Before going to the cinema in the watercress looked a few pages of film critics, my heart felt strenuous, but in the end to see, the cinema filled, and now who can have such a big influence can so many people come to the cinema come. The performance of the elderly commendable, very good! But newcomers",0.860814
