"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
10,"。。。。。傻。。。。傻透了。。。。。。。",". . . . . stupid. . . . Silly . . . . . .",0.265191
10,"0分。能不能一星不给打零分？ 看完默默地想骂娘，这部用最僵硬的方式咯吱你的电影，不值得你花任何一分钱走进电影院。冯小刚 恶心所有人，毁了自己。拍顽主甲方乙方的时候，他是奋斗青年，接地气，激扬文字，粪土当年万户侯。这几年成了领导，大腕，而且严重违背群众路线，用富人特有的矫情来意淫百姓","0 marks. A star can not hit zero? After reading silently BS-niang, this is the most rigid way to creak your movie, not worth any money you go into the cinema. Feng Xiaogan disgusted everyone, ruined himself. Party B when the owner shoot Party A, he is struggling young, grounded, boosting the text, dung then million households Hou. In recent years, they have become leaders and big names. They have also seriously violated the mass line and used the hypocritical nature of the rich people to prostitute people",0.259945
10,"1.即便按照段子手的标准，冯小刚撩段子的水平也不及格，请换赵本山。2.一副受了委屈的小媳妇样子恶心观众，简直让人作呕。3.说白了，这个故事就是钢炮导演满腹委屈报复群众，炒冷饭，不要脸之作，讲了个球。4.一星给歌。","1. Even in accordance with the standards of Dagotan, Feng Xiaogang tease the level of sub should not pass, please change Zhao Benshan. 2. A wronged little daughter-like disgusting audience looks like, just make people sick. 3. To put it plainly, this story is a steel cannon director full of aggrieved retaliation for the masses, fried rice, shamelessly made, talked about the ball. A song to the star",0.29274
10,"1颗星都嫌多。什么叫成全别人恶心自己？你TM明明是成全自己恶心了别人！！！","1 stars are too many. What is the perfection of others nausea? Your TM obviously is to fulfill their own disgusting others! ! !",0.224059
10,"C是有多无聊？？？？白百合和李晓璐演技是有多浮夸？？？？","C is how boring? ? ? ? Bai Lily and Li Xiaolu acting is exaggerated? ? ? ?",0.134081
10,"一上来就想起来甲方乙方，却远不如甲方乙方那样笑的深刻。看这电影纯粹浪费时间。","A party came to think of Party B, but far less than Party A's laugh as profound. Watching this movie is a real waste of time.",0.177106
10,"一个一流的导演一个一流的编剧拍出一个三流导演的作品，你们辛苦了。","A first-rate director A first-class screenwriter filming a third-rate director's work, you worked hard.",0.150782
10,"一个做了那么多年导演的人，拍了那么多戏，对人性，对世界，应该有起码的了解。而他竟然仅仅因为自己的戏被人评了几句不好听的话，就愤然而起，连发七条微博。可见他的胸襟，他的见识，他的脾气。连我都不如，我才不相信电影会有什么思想！在网上看都浪费我的流量！","A man who has been director for so many years has taken so many plays that he should have a basic understanding of human nature and the world. And he even just because of his play was criticized a few words, angrily, bursts of seven microblogging. Visible his mind, his knowledge, his temper. Even I do not like, I do not believe the movie will have any idea! Watching online waste my traffic!",0.130004
10,"一个年过半百的导演拍出这样的片我只能说你是吃屎长大的么?","A director of more than 50 years to shoot such a film I can only say that you eat shit grew up it?",0.17214
10,"一个没有主线，笑点生硬，不知所云的大烂片。非常后悔去看了！","A no main line, laughing blunt, unintelligible big black film. Very regret to see!",0.249171
10,"一个胡萝卜一个苹果一根葱，旁边再加个樱桃，不知道是什么菜.","A carrot an apple a green onion, next to add a cherry, I do not know what kind of food.",0.246456
10,"一个能让我睡好几起的电影，用笑笑的话说就是屎啊！白瞎你葛大爷了！","A movie that makes me sleep well, with a smile, is feces! White blind you Ge Grandpa!",0.247164
10,"一共去电影院看了冯导的两部片子 一部1942 一部私人定制 哎 啥也不说了 一分给葛优 谢谢他还有勇气接这个片子","A total of go to the cinema saw Feng guide two films a 1942 a private custom hey did not say a grateful to Ge You thank him for the courage to take this film",0.261043
10,"一分是给葛大爷的！","A point is to Ge Grandpa!",0.298525
10,"一分给宋丹丹的演技，——我不是什么粉，更不是什么黑","A minute to Song Dandan acting, - I am not a powder, but not what the black",0.283121
10,"一分给葛优，一分给他拍了我们草原上的那些人为的大坑！很多地方很恶心！","A point to Ge You, a shot to him on the grasslands of those artificial pit! Many places are disgusting!",0.251948
10,"一厨子端了一盘翔给顾客，顾客看到当场就破口大骂，完了厨子往那微微一笑说，劳资在讽刺你们，你们一帮二逼看不出来么！？","A cook side of a Xiang Xiang to the customer, the customer saw the spot on the verbal abuse, finished the kitchen smiled to say that labor in irony you, you can not help a bunch of two! ?",0.21383
10,"一句成全别人恶心自己真的恶心到我了。完全没有笑点，不值得看。","A word of others disgusting themselves really disgusting to me. There is no point, not worth watching.",0.238296
10,"一句话，庆幸没有花钱去影院看。","A word, fortunate not to spend money to the theater to see.",0.260201
10,"一周后，一点也想不起来这4个专家都干了嘛！！！！！","A week later, I can not remember the four experts have done it! ! ! ! !",0.25868
10,"一团混乱，不着四六，幼稚肤浅。只有一个重点，就是钱。王朔已经江郎才尽，故事浅薄，对话写的乏味，还抄网络段子。真是差。","A mess, no 46, naive superficial. Only one point is money. Wang Shuo has just finished, the story is shallow, boring dialogue write, but also copied network segment. Really bad.",0.186142
10,"一团糟 我能说最后的结尾和这个片子有半毛钱的关系啊？","A mess I can say the end of the final half a dime of this film ah?",0.259468
10,"一坨高雅。我真是犯贱抽空硬是要看。","A lump of elegance. I really commit suicide is to see.",0.288373
10,"一塌糊涂，冷的我无语，乱的我胸闷。白百合全片只顾搔首弄姿矫揉造作，衬得假奶璐率性可爱。。。冯导，你以为自己接地气儿了，其实你根本不知道观众想看啥，你讽刺讽刺没水准，道歉道歉没诚意，改行拍广告去得了","A mess, cold, I am speechless, chaos my chest tightness. White lily film only take the initiative to act artificial pose, lining a false nipple rate lovely. . . Feng guide, you think you are grounded, in fact, you do not know what the audience want to see, you satirical satire, apology apology did not sincerity, diverted to take ads to get",0.287791
10,"一声叹息。果然是圈钱来了。","A sigh. Sure enough, the money is coming.",0.283976
10,"一女生看着忍不住大声怒言：这是冯导的电影么？过来一男人扇了她一耳刮子，你特么吵啥呢，没见着这么多人睡着了么？！","A girl could not help but watch and burst into anger: Is this a Feng guide movie? Come over a man fan her ears, what are you quarrelsome, did not see so many people fell asleep? !",0.0989174
10,"一星不能再多了，因为我不知道讲的是什么………影院的椅子睡得太不舒服了…！！！！","A star can not be more because I do not know what to say ... ... the theater's chair to sleep too uncomfortable ...! ! ! !",0.130414
10,"一星不能再多了。。","A star can not be more. .",0.263678
10,"一星做为对过去的怀念。","A star as a past miss.",0.288903
10,"一星友情给葛大爷。。。可以打0的么","A star friendship to Ge Grandpa. . . What can you hit 0?",0.159461
10,"一星拿走不谢。","A star to take away not thank.",0.281023
10,"一星是给自己的 这么难看的电影竟然还坚持看完 我想说我是个有毅力的人真的","A star is to own such a ugly movie actually still insist I want to say I am a perseverance people really",0.250949
