"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
20,"【2013.12.22】借用电影中的台词：露脸和显眼只有一步之差。至于这部片子到底是露脸了还是显眼了 观众的眼睛是雪亮的~","【2013.12.22】 Borrow the lines in the movie: the difference between showing one's face and striking one step. As for the film in the end is still revealing the face of the audience's eyes is sharp ~",0.890624
20,"【相见不如怀念】其实两星是给葛优的脸的，其他的就真是太烂了，尤其是结尾我开始玩手机了【里头的梗还没说，ｐ哥在旁边都能接嘴说下去了，段子水平可见一斑，就别提题材挖掘表现之类的】还好这张电影票不是我自己花的钱","[Met better than miss] In fact, the two-star is Ge You face, the other is really rotten, especially at the end I started to play the phone [inside the stem has not said, p brother can be next to the mouth to go on , The level of sub-level can be seen, do not mention the subject of mining performance, etc.] Fortunately, this movie ticket is not my own money",0.761063
20,">.<这是多久之后才坐到第一排，说点关于电影的，明明知道不好看还是去凑热闹了，确实不好看，前两段故事很无聊，换血雅中毒虽然想象力丰富，但始终喜剧喜剧笑不起来冯的贺岁我还是喜欢天下无贼~","This is how long before sitting in the first row, that point about the movie, obviously do not know if it is not good or to join in the fun, really does not look good, the first two paragraphs of the story is very boring, exchange of blood Ya poisoning although imaginative, but Comedy comedy laughed Fung Lunar New Year I still like A World Without Thieves ~",0.931171
20,"1、瞧着配置，这年头，就找不到不是假胸假脸或者不是黄板牙扁平人还总装少女的正常女主角了对吧？2、葛大爷和范老师陪你们胡闹真是海量啊，德艺双馨的异能界典范，不过不建议再学。害惨了普通观众。3、自己已拉出来并且消化很好的屎再重新吞回去，消化不良稀稀再出来是怎样滋味，这种事尿裤子冯最清楚","1, looking at the configuration, this year, you can not find the false chest is not a false face or yellow flat teeth but also the assembly of girls normal actress right? 2, Uncle Ge and Fan teacher accompany you monkeys is really massive ah, German art Shuang Xin is a model for the world of skills, but it is not recommended to learn. Miserable ordinary audience. 3, they have pulled out and digested very good shit and then swallowed again, indigestion, sparse and then out of what is the taste, this kind of thing urine most clear von",0.773833
20,"1.王朔完全无视编剧技术，故事碎到只能到碗里来。2.这片要不是冯小刚拍，骂的人和看的人都会少很多。3.第一段落在深省和反思，第二段落在自嘲和嘲世，第三段落在耸人和感人。4.从第二段落说明冯小刚还是辣个火爆自大的冯小刚。5.我不觉得时间都去哪了多感人，但宋丹丹那一瞬间演技爆发，真感人。","1. Wang Shuo completely ignoring the screenplay technology, the story broken only to the bowl. 2. This film is not Feng Xiaogang beat, curse and look at people will be much less. 3. The first passage is deep and reflective. The second passage is self-deprecating and ridiculous. The third passage is sensational and touching. 4. From the second paragraph shows Feng Xiaogang or spicy arrogant Feng Xiaogang. 5. I do not feel that time has been a lot of moving, but Song Dandan acting moment broke out, really touching.",0.745885
20,"1：这钱也太好挣了吧。2：最后泳池边上白百合跟李小璐泳装那段儿是除了范伟圆梦的那个故事外唯一能看的。3：这片子就是冯导拿来吐槽观众外加还人情外加给制片方捞钱的。4：最后的公益广告太幼稚。","1: This money is too good to earn it. 2: the last pool edge with white Lily Li Xiaolu swimsuit that period is the only one outside of Fan Wei's dream story. 3: This film is Feng Chuan to Tucao audience plus also human beings plus money to producers. 4: The last public service ads too naive.",0.752701
20,"13-11shit","13-11shit",1
20,"2013.12.20","2013.12.20",1
20,"2013.12.20  小品集合，感觉太铺张，有些台词还是不错，其实有葛大爷就很满足了~~~","2013.12.20 Pieces collection, feeling too extravagant, some lines are still good, in fact, Grandpa Ge very satisfied ~ ~ ~",0.891307
20,"2013.12.28  ！怎么会遇见你？我在问自己.....^_^","2013.12.28! How can i meet you? I am asking myself ..... ^ _ ^",0.790375
20,"2014.2.9","2014.2.9",1
20,"boring~~","boring~~",0.78229
20,"disappoint","disappoint",1
20,"Dumb","Dumb",1
20,"hehehehehehehe","hehehehehehehe",1
20,"jjw2","jjw2",1
20,"Justsoso","Justsoso",1
20,"MU523","MU523",1
20,"shayisimeiyou","shayisimeiyou",1
20,"shenmegui","shenmegui",1
20,"so无聊的片儿，还是在看无人区之后串场，本来看到网上有风暴，结果在整个电影院跑了一遍，放的都是私人定制，广电这是什么力度啊。。。有些笑点吧还是，但是整个拍的毫无诚意啊，七零八落的故事拼凑起来，感觉像是看了场综艺节目。以后千万不要在看过好片之后看烂片，尼玛完全没有看完好片之后的爽了！","So boring piece, or after looking at no strings in the field, had seen a storm online, the results ran throughout the cinema, put all private custom, radio and television what is the intensity ah. . . Some jokes or still, but the entire film is not sincere ah, piecemeal story together, I feel like watching a variety show. Do not look after the good film after seeing bad film, Nima completely did not read good film after the cool!",0.91855
20,"一开篇就没有吸引人，老冯功力怎么衰退了，很不好意思的一路睡到结尾处才醒来~~","The first opening is not attractive, how the decline of the old Feng skill, very sorry to sleep until the end wake up ~ ~",0.826374
20,"一点都不好笑。冯导虽然你想讽刺和寓意的东西我们不一定都懂，虽然最后你强装镇定的一定要将电影升华但你摆脱不了这部就是一坨翔样。有寓意但也得把故事讲的好才是真本事好么。别恶心观众 成全自己了。","It is not funny. Feng guide although you want to satirical and moral things we do not necessarily understand, although in the end you are strongly calm must be the film sublimation, but you can not get rid of this is a sample. There are moral but also have to tell the story of the good is really good thing. Do not disgust the audience to complete themselves.",0.853277
20,"一直喜欢冯导的电影，可是这一部还真是让人失望了。贺岁喜剧就图一乐，结果整个电影玩儿深沉、高端黑，通篇黑色讽刺而非笑点。故事断片、连贯度几乎没有。唯一打动到内心的是最后关于环保的前三段台词和画面，可惜最后一个葛优环保收尾采访又变成讽刺基调。感觉就是一部发闹骚的片子，满满的负能量。","Has always been fond of Feng guide the movie, but this one is really disappointing. Lunar New Year comedy on the map a happy, the results of the movie playing deep, high-end black, throughout the black irony rather than jokes. Fragment of the story, almost no continuity. The only thing that touched the heart was the last three lines and pictures about environmental protection. Unfortunately, the final interview with GEO has become a satirical tone. Feeling is a film made downtown, full of negative energy.",0.808025
20,"一直忍到最后才看这部电影，因为评价不高！冯小刚的电影多少算是大陆片的典范了，但是不知道有多少人抱着很大的期待看这部电影，希望从电影中找到些许现实生活中的乐趣或者说是慰藉，但是可能大家失望了，冯导只是就1942想挣回钱而已，片子要是以认真的角度来拍，确实一个段落可以拍一部电影的","Has been the last to see this movie, because the evaluation is not high! Feng Xiaogang's film is more or less regarded as an example of a mainland film, but I do not know how many people look forward to watching this movie with great hope in the movie to find some real-life fun or comfort, but we may be disappointed, Feng guide 1942 just want to earn money back only if the film to take a serious point of view, indeed a passage can take a movie",0.761296
20,"一直拖着没去看，在等个机会。但是由于最近真的内心比较复杂，就抽出时间去看了。看完以后感觉冯小刚的喜剧不在让人期待。想着用冯氏幽默去讽刺当今社会现状，却又完全落了俗套。煽情和幽默生搬硬套。我想到了无论外表光鲜或是平凡，我们内心都有一个真实的自我。看的时候总感觉有个人坐我身边，在笑","Has been dragged to see, waiting for a chance. However, due to the recent really complicated heart, it took time to see it. After reading the feeling of Feng Xiaogang's comedy is not looking forward to. Thinking to use Feng's humor to satirize the status quo in society today, but completely out of cliche. Sensational and humorous mechanically. I have come to mind that there is a real self in my heart, whether it looks bright or ordinary. I always feel when I sit by my side, laughing",0.72958
20,"一直秉持不在电影院看国产片的原则到底是对的。冯式幽默已经玩不出心意了，通篇搞些大道理然后七拼八凑，感叹生活，毫无深度供观众挖掘回味的。更狗血的是最后感谢山川河流那段，这不就是传统的小学生作文么。。真JB扯蛋。诶对了，璐璐同学您能别老挤个事业线在荧幕前晃么，假奶亮不了。。","Always uphold the principle of not seeing domestic films at the cinema is right. Feng style humor has been played out of mind, and throughout the main road after some patchwork, sigh life, no depth for the audience to dig aftertaste. More dogged is the last to thank the mountains and rivers that period, this is not what the traditional primary school composition. . Really JB pull eggs.诶 Yes, Lulu students you can not squeeze a business line in front of the screen shake what, false milk can not. .",0.772393
20,"一直说不看的还是看了，其实隐约感觉到导演想表达一些东西，被赞以及被喷都有一定的理由！这就是一直或缺的critical thinking吧...但是由于审核等奇葩的因素吧，这么拍才能播吧= =ps:结尾真是理解无能···","Has been saying do not read or read, in fact, vaguely feel the director wanted to express something, was praised and was sprayed for some reason! This is the critical or not critical thinking ... but because of the wonderful factors such as audits, so be able to broadcast it = = ps: the end really understand incompetence ...",0.744508
20,"一股日本动漫的气息，我们实现你的梦想——现实粉碎你的梦想，可惜还不如人家漫画家编得好。极老套的说教，只能说导演你不懂生活，也不理解你片中的客户，只站在自己的角度观望，怎能拍出真实的心态，不真实的东西又如何能引起人们的共鸣。","An atmosphere of Japanese anime, we realize your dreams - reality smashed your dreams, but unfortunately not as good as others comic well-edited. Very stereotyped preaching, can only say that you do not understand the director director of life, do not understand your client in the film, just stand on their own point of view, how to make real mentality, how unreal can cause people resonance.",0.771496
20,"一般，但是王铮亮唱的主题曲有触动我。宋丹丹在面对华灯初上的北京城时的感慨很真实。","General, but the theme song sung by Wang Zheng Liang touched me. Song Dandan in the face of the beginning of the Chinese city of Beijing feeling very real.",0.755568
20,"一般吧 很失望 翻拍的甲方乙方 前面看着还行 药匣子演的还不错 后面不知所云 感觉想深刻但不深刻 想喜剧但不喜剧 总体感觉尴尬 葛大爷的演技还是一样的棒 导演不知道这次在想什么","General bar is very disappointed with the remake of Party B in front of the line is also doing a good job in the box after the unknowingly deep feeling but do not deeply want to comedy but do not comedy feel embarrassed Ge uncle acting is still the same great director do not know this Times are thinking about what",0.840414
20,"七拼八凑","Patchwork",1
20,"七拼八凑不知所云","Patchwork unintelligible",1
20,"三个故事感觉讲的不清晰，想讽刺也有收敛，讨论雅俗也逃不开现在市场大环境，植入广告太多。影片最后又莫名的上升到保护大自然，爱与和平。总的来说不好看","The three stories are not clear about what they are talking about, and they also want to be satirical. Convergence can also be found in discussing the elegance and vulgarity. Nowadays, there are too many ads implanted in the market. Finally, the film inexplicably rose to the protection of nature, love and peace. Overall not look good",0.810604
20,"三段如果延长到一个30集电视剧 还算可以 就像大男当婚那样的 可以给冯导拍就是一次退步。这部作品已经退步为一部念台词的作品 演技倒退 有点赵宝刚的感觉了 情节倒退 有瞎编乱造的成分 比如换血那段 太扯了 而且说电影那段 什么电影就是俗的 冯小刚的自嘲 不过拍成埋怨的感觉了 最后宋丹丹那段 只有最","Three paragraphs if extended to a 30-episode drama OK can be like a big man as a wedding that can lead to Feng is a step backwards. This work has been regressed as a memorial piece works of art retrogression a bit ZHAO Bao-gang feel the plot retrograde blind make-up elements such as transfuse that is too drastic and said the film that period of the film is vulgar Feng Xiaogang's self-deprecation made Complain about the last Song Dandan only the most during that period",0.732396
20,"三段式的电影：讽刺、自嘲、亲情和公益，除了第三段的故事和插曲挺好，其他全是尿点，毫无新意","Three-stage movie: satirical, self-deprecating, affection and public interest, in addition to the third paragraph of the story and episode quite good, the other is full of urine, nothing new",0.783005
20,"三段毫无关联故事，剧情拼凑完全是由广告和低笑点段子构成的电影。 三段故事分别表达了对贪腐高官的讽刺、电影导演的雅与俗的探讨和对土豪的嘲讽。 最后的环保太说教化。 总之影片直指社会热点 ，权当是贺岁图个乐呵。宋丹丹饰演的大妈圆梦后回家的背影对比强烈很打动人","Three unrelated stories, the plot put together entirely by the ads and laughs composed of the movie segment. Three sections of the story express the irony of corrupt officials, the film director's discussion of elegance and vulgar and irony on local tyrants. The last environmental protection is too educated. In short the film refers to the social hot spots, the right to be a New Year's picture of music Oh. Song Dandan played aunt back home after a strong contrast is very touching",0.879452
20,"不 好 看","Not good-looking",1
20,"不以讲好故事为己任的电影都不是好电影","Movies that do not tell good stories are not good movies",0.745238
20,"不俗不雅没味道不俗不雅没味道不俗不雅没味道不俗不雅没味道不俗不雅没味道","Not bad, not bad, not bad, not taste good, not bad, not taste good, not bad, not taste good, no taste, no taste",0.747522
20,"不做作会死吗~~~","Do not make will die ~ ~ ~",0.740415
20,"不咋样","Not Zeyang",1
20,"不咋样。","Not Zeyang",1
